# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2)
# DR        : Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TG,    Q,   DR,   RH,   UG
  260,20200227,   27,   27,  196,   74,   50,   89
  260,20200228,   50,   46,  508,   66,   81,   83
  260,20200229,   75,   87,  512,   16,   17,   75
  260,20200301,   67,   66,  785,    0,   -1,   72
  260,20200302,   31,   55,  244,   95,   87,   90
  260,20200303,   33,   44,  915,   15,   27,   83
  260,20200304,   26,   65,  907,    6,    9,   79
  260,20200305,   42,   55,  280,  100,  118,   90
  260,20200306,   40,   62,  674,   49,   19,   80
  260,20200307,   41,   66,  959,    0,    0,   76
  260,20200308,   55,   87,  314,   14,    6,   82
  260,20200309,   45,   78,  936,   26,   37,   80
  260,20200310,   70,  101,  179,  147,  164,   92
  260,20200311,   49,  110,  891,   69,   80,   85
  260,20200312,   73,   84, 1164,   27,   47,   66
  260,20200313,   42,   66,  565,   29,   54,   81
  260,20200314,   41,   67, 1088,    5,    5,   80
  260,20200315,   47,   96,  404,    0,    0,   78
  260,20200316,   18,   75, 1203,    0,    0,   82
  260,20200317,   40,   86, 1366,    0,    0,   68
  260,20200318,   40,  105,  902,    0,    0,   64
  260,20200319,   26,   85,  391,    0,    0,   87
  260,20200320,   46,   67,  512,    0,   -1,   75
  260,20200321,   63,   46, 1737,    0,    0,   61
  260,20200322,   62,   46, 1844,    0,    0,   50
  260,20200323,   58,   47, 1851,    0,    0,   43
  260,20200324,   45,   49, 1848,    0,    0,   44
  260,20200325,   39,   55, 1897,    0,    0,   44
  260,20200326,   48,   66, 1826,    0,    0,   40
  260,20200327,   47,   85, 1720,    0,    0,   54
  260,20200328,   58,   74, 1741,    0,   -1,   64
  260,20200329,   67,   47, 1693,    0,   -1,   51
  260,20200330,   23,   38,  950,    5,   20,   78
  260,20200331,   33,   41, 2028,    0,    0,   62
  260,20200401,   16,   39, 1488,    0,    0,   73
  260,20200402,   37,   70, 1002,    0,   -1,   74
  260,20200403,   25,   66,  974,    0,   -1,   74
  260,20200404,   32,   73, 2083,    0,    0,   59
  260,20200405,   50,  126, 2089,    0,    0,   47
  260,20200406,   39,  143, 1800,    6,    1,   57
  260,20200407,   26,  122, 2066,    0,    0,   65
  260,20200408,   17,  150, 1966,    0,    0,   65
  260,20200409,   28,  133, 1981,    0,    0,   65
  260,20200410,   28,  115, 2081,    0,    0,   58
  260,20200411,   18,  122, 2189,    0,    0,   54
  260,20200412,   20,  140, 1792,    2,    1,   61
  260,20200413,   58,   78, 1759,    0,   -1,   55
  260,20200414,   23,   60, 1058,    0,   -1,   67
  260,20200415,   15,   85, 2206,    0,    0,   67
  260,20200416,   27,  130, 2131,    0,    0,   60
  260,20200417,   43,  109, 2220,    0,    0,   61
  260,20200418,   25,  111,  906,   18,   10,   74
  260,20200419,   47,  125, 2401,    0,   -1,   43
  260,20200420,   70,  127, 2442,    0,    0,   38
  260,20200421,   74,  139, 2444,    0,    0,   40
  260,20200422,   56,  152, 2463,    0,    0,   41
  260,20200423,   28,  158, 2416,    0,    0,   47
  260,20200424,   35,  124, 2354,    0,    0,   64
  260,20200425,   28,   98, 1721,    0,    0,   66
  260,20200426,   15,   90, 2460,    0,    0,   73
  260,20200427,   24,  124, 2344,    0,    0,   64
  260,20200428,   30,   94,  542,   49,   17,   90
  260,20200429,   33,  117, 1000,   64,   25,   83
  260,20200430,   48,  115, 1607,   21,   73,   70
  260,20200501,   43,  105, 1240,   18,   29,   77
  260,20200502,   34,  103, 1453,   15,   39,   77
  260,20200503,   17,  110, 1429,   30,    7,   80
  260,20200504,   38,  108, 2459,   11,    4,   71
  260,20200505,   36,   92, 2669,    0,    0,   62
  260,20200506,   25,  106, 2682,    0,    0,   63
  260,20200507,   14,  120, 2589,    0,    0,   66
  260,20200508,   14,  145, 2336,    0,    0,   62
  260,20200509,   30,  171, 2636,    0,    0,   56
  260,20200510,   48,  129, 1755,    0,   -1,   68
  260,20200511,   63,   84, 2215,    5,    6,   53
  260,20200512,   25,   77, 2013,    0,    0,   65
  260,20200513,   35,   72, 1748,    2,    2,   66
  260,20200514,   33,   71, 2016,    0,    0,   61
  260,20200515,   21,   85, 2147,    0,    0,   68
  260,20200516,   28,   98, 1828,    0,    0,   71
  260,20200517,   25,  121, 2210,    0,    0,   63
  260,20200518,   30,  149, 2687,    0,    0,   65
  260,20200519,   28,  166, 2623,    0,    0,   66
  260,20200520,   20,  162, 2327,    0,    0,   72
  260,20200521,   21,  192, 2740,    0,    0,   62
  260,20200522,   44,  190, 1314,    8,    2,   56
  260,20200523,   53,  153, 2397,    0,    0,   60
  260,20200524,   35,  135,  606,   43,   27,   78
  260,20200525,   27,  155, 2581,    0,    0,   72
  260,20200526,   19,  163, 2751,    0,    0,   65
  260,20200527,   35,  158, 2800,    0,    0,   67
  260,20200528,   40,  141, 2994,    0,    0,   59
  260,20200529,   30,  153, 3005,    0,    0,   58
  260,20200530,   36,  178, 2804,    0,    0,   48
  260,20200531,   46,  172, 2898,    0,    0,   52
  260,20200601,   30,  188, 2744,    0,    0,   51
  260,20200602,   23,  201, 2636,    0,    0,   55
  260,20200603,   32,  175, 2377,    0,    0,   70
  260,20200604,   37,  128,  933,   33,   30,   80
  260,20200605,   38,   99, 1053,   50,  161,   81
  260,20200606,   59,  116, 1997,   26,   44,   69
  260,20200607,   39,  127, 1286,   14,   32,   78
  260,20200608,   36,  146, 2487,    3,    8,   73
  260,20200609,   26,  133, 1454,    0,    0,   67
  260,20200610,   21,  139, 1464,    6,    4,   76
  260,20200611,   28,  157, 1189,   27,   28,   81
  260,20200612,   37,  195, 2456,   24,   67,   74
  260,20200613,   25,  202, 2772,   24,   42,   76
  260,20200614,   21,  183, 1187,    5,    2,   83
  260,20200615,   18,  191, 1793,    0,    0,   69
  260,20200616,   13,  179, 1014,   41,   12,   87
  260,20200617,   28,  190, 2292,   26,   64,   77
  260,20200618,   25,  176, 1570,   48,  100,   81
  260,20200619,   25,  172, 2263,    0,    0,   76
  260,20200620,   19,  167, 1807,    0,   -1,   73
  260,20200621,   35,  186, 2030,    0,    0,   69
  260,20200622,   23,  178, 2565,    0,    0,   67
  260,20200623,   19,  197, 2914,    0,    0,   64
  260,20200624,   34,  233, 2900,    0,    0,   52
